No,X1_transaction_date,X2_house_age,X3_distance_to_the_nearest_MRT_station,X4_number_of_convenience_stores,X5_latitude,X6_longitude,Y_house_price_of_unit_area,X3 distance to the nearest MRT station
1,2012.917,32,8,10,24.98298,121.54024,37.9,84.87882
2,2012.917,19.5,31,9,24.98034,121.53951,42.2,306.5947
3,2013.583,13.3,56,5,24.98746,121.54391,47.3,561.9845
4,2013.500,13.3,56,5,24.98746,121.54391,54.8,561.9845
5,2012.833,5,39,5,24.97937,121.54245,43.1,390.5684
6,2012.667,7.1,218,3,24.96305,121.51254,32.1,2175.03
7,2012.667,34.5,62,7,24.97933,121.53642,40.3,623.4731
8,2013.417,20.3,29,6,24.98042,121.54228,46.7,287.6025
9,2013.500,31.7,551,1,24.95095,121.48458,18.8,5512.038
10,2013.417,17.9,178,3,24.96731,121.51486,22.1,1783.18
11,2013.083,34.8,41,1,24.97349,121.53372,41.4,405.2134
12,2013.333,6.3,9,9,24.97433,121.5431,58.1,90.45606
13,2012.917,13,49,5,24.96515,121.53737,39.3,492.2313
14,2012.667,20.4,247,4,24.96108,121.51046,23.8,2469.645
15,2013.500,13.2,116,4,24.99156,121.53406,34.3,1164.838
16,2013.583,35.7,58,2,24.9824,121.54619,50.5,579.2083
17,2013.250,0,29,6,24.97744,121.54458,70.1,292.9978
18,2012.750,17.7,35,1,24.97544,121.53119,37.4,350.8515
19,2013.417,16.9,37,8,24.9675,121.54451,42.3,368.1363
20,2012.667,1.5,2,7,24.96772,121.54102,47.7,23.38284
21,2013.417,4.5,228,3,24.96314,121.51151,29.3,2275.877
22,2013.417,10.5,28,7,24.97528,121.54541,51.6,279.1726
23,2012.917,14.7,136,1,24.95204,121.54842,24.6,1360.139
24,2013.083,10.1,28,7,24.97528,121.54541,47.9,279.1726
25,2013.000,39.6,48,4,24.97353,121.53885,38.8,480.6977
26,2013.083,29.3,149,2,24.97542,121.51726,27,1487.868
27,2012.667,3.1,38,5,24.98085,121.54391,56.2,383.8624
28,2013.250,10.4,28,5,24.95593,121.53913,33.6,276.449
29,2013.500,19.2,56,4,24.97419,121.53797,47,557.478
30,2013.083,7.1,45,5,24.97563,121.54694,57.1,451.2438
